"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.50188996220075","-0.418781725888325","6.12145748987855","12.7899343544858","5.01845018450185","26.8758451396163","-6.82872717296655","-13.9005664378999","17.130226561061","7.90463582016123","-4.74349524396908","-8.91452200129447","9.09842771166914","-17.9517808055838","0.676323282529049","-0.424762300780892","7.56815984822931","18.8881131125181","","","","","","",
"Afghanistan","AFG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.0131512243609448","0.0245752714393039","0.00940111467749321","0.0155769236960059","","","0.00156521738449906","-0.00812641060285658","","0.0324504958728158","0.247135743279599","0.005174215982803","","","","","","","","","","","","","","","","","","","","0.0276235694507676","1.21099954088341","1.2610053680405","3.53611225780648","4.3186744650901","3.3722519515549","1.91683279017632","0.3959856893148","0.44932730314842","1.19706857313681","0.290980057971444","0.276695355827204","0.238406733662618","0.208454817058391","0.880258440654686","0.480709517928724","0.256494018513322",
"Angola","AGO","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.630975103981031","0.88370687168445","2.08648507257444","1.80366249575565","1.09500567621391","3.68038359532726","3.30879389182255","1.47206684886135","1.49385627947356","1.96057306398349","-2.98162799825608","6.26663053571429","3.46608752793541","5.2368632542517","3.83703655802979","8.52948883994992","2.39899396705538","5.38231807584834","17.1215906483088","40.1672509619126","9.62386631013722","24.0091170615715","13.9509918914003","25.2095604795772","11.1870280681404","-4.61801443579378","-0.0902496514951315","-1.47784622637735","1.99454762570202","2.92121934269443","-3.910531911354","-2.90423810209925","-6.05491845096545","-5.7000037697875","1.51637082392154","9.04507655703848","-0.188297550577973","-5.9555043767779",
"Albania","ALB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81907493952745","4.72285382625773","2.66911917005927","2.88719441567244","2.71803211049261","2.01279450123347","1.66265024388059","1.20652663604229","3.93717707227928","5.10495722596557","3.04391445388559","3.09793068135411","4.66563777108359","3.21722676118428","3.61560378132408","6.0954572335317","9.72769681893617","11.1601821190536","9.13990129091488","8.13046155517835","7.45397250503158","9.81721374254509","8.69001368135631","8.68784526132212","8.78673446886916","7.83882587526265",
"Andorra","AND","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.558907753619266","","0.245661042182372","-1.12555369163985","-3.24032948184491","1.51845265646165","0.0414065730860831","0.646628627736373","0.593216166263813","0.0975315892415032","-0.493146579902982","1.77942708160574","2.96961836481084","1.55308507236173","1.61119478590717","0.493650963568034","0.68284705332311","0.015498378113759","0.405297103708742","0.300846003145869","0.460489875404476","0.510177158550501","0.780385972940923","1.0901022185926","0.816789250341919","0.00220112108218643","0.611025496075598","1.06507552380291","1.49376386377442","0.198071056573948","0.515942970182865","0.898115354643019","0.824186706852142","1.72356901740027","2.21464622408866","3.89569910717156","4.95453925777033","5.00674747274939","4.31825960489824","4.23937643157353","3.33781592891198","1.83494399891257","1.84585463847922","1.74556213591349","1.62653646213314","1.49134058262681","1.62831738439268","1.23607100013287",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","0.108351028072642","0.257273417071533","0.451274584371974","0.164536830325616","0.206818389048822","0.22395138271941","-0.0343377746365328","0.203892014116107","0.106393607881322","0.407195240980733","-0.544187526835552","0.324685539335671","0.128404884366882","0.52070706926589","0.0935487852947746","-0.228435309603761","0.0503179637301319","0.239162943469002","0.72147194906954","0.105319789259975","0.608195467069962","0.408474866706161","0.294815985875101","0.340485312002994","-1.16683578609984","-0.485281532912816","1.14589216998935","0.0867813662286139","3.42266271334159","6.76715211324682","6.03483106091215","5.76543753210343","5.5004397184535","1.60487460868527","0.447367363985376","3.03559489222365","2.03957474833406","2.55389515956191","2.50313391092345","2.74634535452345","2.38761932373249","2.69007310500282","2.7064552389122",
"Argentina","ARG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.284224297397444","0.377464477473511","0.206489502469194","0.190792478260042","0.0247388145324033","0.106009598269524","0.478175476645854","0.253605959289195","0.430419501184104","0.297462920183783","0.880955110053283","1.06384544018918","0.269252481027722","0.177920358938206","0.338845892416111","1.03939676921859","0.51742270994039","-0.0171007571834998","0.908825708058126","1.34139040897869","1.2988816648031","1.28557885422783","1.93671240172489","1.17980281165114","1.411953029158","2.17392758974997","2.55320340608332","3.12787793868196","2.43876896154487","8.46058217133806","3.66579059535379","0.806164134759348","2.19895819502207","1.29481086883944","2.5050175164097","2.64935441452167","2.3810651968205","2.25129153609907","2.68990286531228","1.20643922647566","2.67516171886537","2.04464008003071","2.80667189982932","1.77920553648531","0.962406650325519","1.97713461784426","0.587564212452168","1.80631030740436",
"Armenia","ARM","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.188593628501326","0.0665937908053948","0.608291621442106","1.72442285714463","1.10020926856519","3.16805367491259","11.6611351911513","6.61290589672584","5.45043316560111","3.29806741743693","4.65949974895049","4.37657009672658","6.90990201303095","5.96010633958357","7.3073150316137","7.25233197719082","8.09234920917782","8.78869455248089","5.71603784546004","6.44066836705362","4.67672787765567","3.11193148125796","3.47902976165876","1.68947372519458","3.20605773747274","2.16493215872583",
"American Samoa","ASM","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
